Servidor_1;70.14;82.81;76.25;72.27;64.56;77.02;66.70;93.57;94.94;63.70;83.56;83.57;86.95;88.62;89.41;90.10;91.88;68.52;76.53;79.25;66.69;93.28;84.87;87.45;70.80;63.30;68.58;89.12;76.85;86.03
Servidor_2;37.41;87.88;71.74;68.31;34.30;61.98;84.17;63.89;69.42;41.26;85.35;85.52;37.83;86.29;41.36;49.61;81.31;87.33;69.20;87.55;73.52;59.83;87.62;75.48;79.42;53.23;85.28;88.97;60.26;54.26
Servidor_3;65.94;79.65;47.40;76.58;91.87;66.37;76.41;81.62;56.06;92.40;75.24;63.66;67.17;87.01;85.04;36.55;36.57;77.76;41.94;39.78;63.18;89.99;63.73;54.96;50.13;64.08;64.02;88.31;86.30;50.19
Servidor_4;36.42;40.97;58.15;93.56;85.46;37.17;45.55;65.53;76.11;39.52;37.77;83.52;66.58;36.73;67.70;38.89;42.85;63.04;63.00;35.88;50.06;56.66;82.75;49.63;38.89;39.50;66.97;92.45;55.89;70.77
Servidor_5;60.67;60.90;49.99;61.45;58.78;69.90;65.29;81.25;70.36;93.31;54.11;70.42;85.44;81.57;56.19;56.69;79.34;81.22;38.14;79.94;62.56;84.46;84.97;91.83;38.09;42.47;44.27;81.91;88.50;36.98
Servidor_6;63.50;65.45;49.31;73.55;87.88;68.00;79.56;91.87;91.93;34.68;52.99;73.57;83.53;94.10;89.66;84.83;67.87;78.56;85.59;66.97;36.55;64.68;56.47;79.48;74.09;41.55;91.42;70.83;75.04;57.21
Servidor_7;42.53;67.16;75.07;62.95;42.16;42.83;82.93;71.65;84.96;80.02;45.08;86.52;53.95;49.39;54.90;50.78;81.78;48.61;35.52;87.67;55.49;93.67;89.58;66.86;49.13;70.77;42.78;93.37;74.13;77.12
Servidor_8;41.60;72.90;42.17;61.48;74.61;49.03;68.22;64.22;86.13;87.71;63.92;47.87;55.64;40.59;72.69;62.90;70.62;74.83;40.15;92.19;77.97;72.23;82.65;69.95;53.73;58.70;36.78;50.64;45.94;36.48
Servidor_9;48.56;38.42;60.36;90.83;85.94;44.25;56.56;49.67;84.58;63.36;38.31;74.42;87.04;57.49;64.52;47.53;37.29;62.00;56.41;81.82;78.77;45.56;34.47;54.01;80.38;65.63;48.89;69.33;80.81;91.49
Servidor_10;50.88;78.31;61.95;44.20;57.89;65.97;93.13;61.09;56.84;49.13;59.99;47.94;75.82;80.95;37.47;82.91;37.08;66.86;35.83;81.61;34.68;65.82;60.15;80.88;58.66;71.14;75.63;86.90;60.45;88.82
